ID,GlideNumbe,Country,OtherCount,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
55,0,Nigeria,0,6.503453,6.414864,74615.90460599372,1985-09-23,1985-09-25,News,0,6000,Heavy Rain,1.0
249,0,Nigeria,,2.407047,9.505595,71964.12817021532,1988-09-14,1988-09-26,News,7,136000,Torrential rain,1.0
257,0,Nigeria,0,7.101188,6.379017,8884.3012748593,1988-09-21,1988-10-05,News,0,70000,"Dam/Levy, break or release",1.0
430,0,Nigeria,0,3.517386,6.536856,3421.5447356489203,1990-07-03,1990-07-04,News,5,3000,Heavy rain,1.0
443,0,Nigeria,0,8.387897,5.840492,5516.117043851658,1990-08-02,1990-08-03,News,100,0,Heavy rain,1.0
459,0,Nigeria,0,8.888975,7.500541,36124.07006428173,1990-09-16,1990-09-21,News,0,300000,Heavy rain,1.0
559,0,Nigeria,0,8.528916,11.690039,22908.019797338817,1991-08-04,1991-08-05,News,4,10000,Heavy rain,1.0
698,0,Nigeria,0,13.017962,10.280488,42369.207759399906,1992-09-22,1992-09-23,News,9,13000,Heavy rain,1.0
899,0,Nigeria,Niger,13.318399,12.038432,317262.41320283833,1994-09-11,1994-09-15,News,142,180000,Heavy rain,1.0
980,0,Nigeria,0,8.967466,10.045905,19768.43710336522,1995-08-07,1995-08-10,News,30,0,Heavy rain,1.0
1219,0,Nigeria,0,4.037853,7.463278,17287.474160948834,1997-04-30,1997-05-01,News,5,0,Heavy rain,1.0
1431,0,Nigeria,0,8.969202,11.896778,39717.529826190075,1998-08-15,1998-08-16,News,15,5000,Heavy rain,1.0
1454,0,Nigeria,0,4.489831,8.841622,29086.577693949745,1998-10-12,1998-10-18,News,0,110000,Heavy rain,1.0
1560,0,Nigeria,Ghana,5.9793,12.563414,861989.4437580118,1999-09-15,1999-10-11,News,85,396748,Heavy rain,2.0
1563,0,Nigeria,0,11.937974,6.605118,251262.5587434626,1999-10-26,1999-11-08,News,50,0,Heavy rain,2.0
2003,0,Nigeria,0,3.281057,6.605587,1657.3338145218836,2002-07-24,2002-07-26,News,2,0,Heavy rain,1.0
2247,0,Nigeria,0,9.789591,12.427634,5709.91027296421,2003-06-07,2003-06-08,News,0,2000,Heavy rain,1.0
2250,0,Nigeria,0,8.434206,11.810017,785.1740234719583,2003-05-28,2003-05-29,News,1,800,Brief torrential rain,1.0
2290,0,Nigeria,0,8.942982,6.28577,8171.952973253036,2003-07-23,2003-07-25,News,5,0,Heavy rain,1.0
2293,0,Nigeria,0,11.173649,10.199668,1524.2083037733462,2003-07-22,2003-07-24,News,0,160,Heavy rain,1.0
2294,0,Nigeria,0,9.134611,6.928862,2626.5051229327432,2003-07-27,2003-07-27,News,2,3000,Heavy rain,1.0
2311,0,Nigeria,0,4.735272,12.394812,138852.9014189367,2003-08-05,2003-10-12,News,7,10000,Heavy rain,1.0
2314,0,Nigeria,0,10.012759,12.63425,19628.96630138476,2003-08-05,2003-10-12,News,7,10000,Heavy rain,1.0
2345,0,Nigeria,0,7.48686,10.514296,134916.2602887592,2003-09-05,2003-10-28,News,16,210000,Heavy rain,1.0
2361,0,Nigeria,0,11.923531,8.877517,137749.99621437263,2003-09-22,2003-10-10,News,28,1000,Heavy rain,1.0
2503,0,Nigeria,0,3.486407,6.490099,337.1727561053517,2004-06-17,2004-06-18,News,0,0,Heavy rain,1.0
2509,0,Nigeria,0,9.725173,12.411848,8716.04140629544,2004-06-22,2004-06-25,News,0,300,Heavy rain,1.0
2545,0,Nigeria,0,6.006388,5.514396,517.8705407644773,2004-08-08,2004-08-10,News,0,15000,Heavy rain,1.0
2546,0,Nigeria,0,12.730275,10.055229,5488.443232537409,2004-08-08,2004-08-12,News,65,2500,Heavy rain,1.0
2553,0,Nigeria,0,11.198949,10.404112,20780.321261070312,2004-08-21,2004-08-23,News,25,3000,Heavy rain,1.0
2721,0,Nigeria,0,10.905259,10.665559,159497.37476960017,2005-08-07,2005-09-16,News,3,7,Heavy rain,1.0
2739,0,Nigeria,0,10.437406,12.570558,11553.107259742388,2005-09-26,2005-09-29,News,0,1500,Heavy rain,1.0
2925,0,Nigeria,0,6.348698,6.944701,724.352397669309,2006-07-15,2006-07-17,News,0,2000,Heavy rain,1.0
2928,0,Nigeria,0,7.170558,9.081118,1851.0888092718392,2006-07-18,2006-07-20,News,4,40,Heavy rain,1.0
2967,0,Nigeria,0,5.346175,8.162315,869.889625807296,2006-09-12,2006-09-13,News,20,0,Brief torrential rain,1.0
3148,FL-2007-000123-NGA,Nigeria,0,3.298584,6.958003,5268.177432910815,2007-08-01,2007-08-15,News,6,5000,Heavy rain,1.0
