title,url,published_at,text_snippet,is_blockage_attributed
"Lagos bridges, flooded as thunderstorm wreaks havoc in Oregun - The Guardian Nigeria News",https://news.google.com/rss/articles/CBMijwFBVV95cUxNQ0U2WDhiUThNZDR3QkhWaU5nZkFYY2x0czVEemNuSmZ2elhRZFp5S24xS3p5cHZLRkxUd1NzeHkxdVdvT2c1ZG1LOHpGeHkzdDFMeDRaSHlhSUstdl9FZW5tQ21UOE5Ib2RpaUI5Z1pyeW4zQjVleHREZVBqV1o4eTc4WnhCR0paUkVrWmhxMA?oc=5,2022-04-07,"Lagos bridges, flooded as thunderstorm wreaks havoc in Oregun The Guardian Nigeria News",0
Shina Peller’s presidential campaign posters flood Lagos - Peoples Gazette Nigeria,https://news.google.com/rss/articles/CBMihgFBVV95cUxOdm1aMnRNT3k2TkRYR2ZYRWJYM0J2dkJYUnhiTEdXdWlTZjBYdzZVRzVsV0s1NXJRaHQySjA3VGxzV2wwMDQ4Sm1MXzg0YmQ4cVVrVUItR0YwNlNxV19VWDRfSHBpZnVyampSQW9VWXZ2d2hfUHRWc1lraktuQjRmMlJseE9yZw?oc=5,2022-04-14,Shina Peller’s presidential campaign posters flood Lagos Peoples Gazette Nigeria,0
"Ajegunle residents lament disaster, insecurity, neglect - The Guardian Nigeria News",https://news.google.com/rss/articles/CBMihgFBVV95cUxNVUVRRU9kNFpSVTFaM2JuNDVhLWdseXE1djY2ZW9qb3dwZ1cxRFNwSVE0Vy1RSy1RYWN6dW5PVmh2Qlh3WXhXLWs5S0d4MTVwdTQ5Ymw2WUd6UUJmRmgtMHFVSk9iR1haZl9lYnJlODllWjVNS2c1d3U4OWNsSHFaTHJLblNUUQ?oc=5,2022-04-21,"Ajegunle residents lament disaster, insecurity, neglect The Guardian Nigeria News",0
"At Least Five Dead In South Africa Floods, Mudslides - Channels Television",https://news.google.com/rss/articles/CBMilAFBVV95cUxPSTNqSVo4NHZhdjZ4c19sLXE2Zkg0ZmhuVzY2ZlJjVm1uSXhTUWJKWU1SZmEweXR4bFVGTkRMYTJzRFVvZ19wYjViWW9JYmJUUnNjbEZldjZNcDA1QlJkMzJReXVyblJrZTR1RzA1SVpsQmhXV3RLZzNHd005aTQzQ3hjcTd4R2gzX2VHakhOam8yWkFo?oc=5,2022-04-12,"At Least Five Dead In South Africa Floods, Mudslides Channels Television",0
"NNPP posters flood Ibadan metropolis, as Olopoeyan set to unveil new party structure - tribuneonlineng.com",https://news.google.com/rss/articles/CBMisgFBVV95cUxNZVB2b294TFVJTURzNkd1Q2ZuS2Q5OVFSZndrOFpwbzR4eDVrdnpYcVJjVUpwQVpEel9tZkJYQ1l1ZFJPd3NLQU5QQnhVcTlhR1VocG9IUXBzVU9GQTR3Z1RsdWdEWmtHRXQzWHBsMGp4WE9TeXl5T3M5T0l1RUNTQTJKUFo3ckZEc3U1dzJZR2lLaE1Zc0JTMWZ3OEJOWl9XMC1tVFNwU2k5QmtVSFRGaktn0gG3AUFVX3lxTFBFQWRicnpsWHJCQ3FsblI5eTRNbDFzbjY0X1pXMkx0THg4QUVUUVBTVU9vdGxCY1hTN2QyMTBZVGV4SDNKbXdpVHZyaGh3MTh6LXJwOERMYm50cTJMcHBXZTNfZmNrTGtmSU9ZZGVhdHozaV9KeFhpdEJpbWlDZE12Wm9xSnVGdUQzMUswOUdSODAxN2Q0RE9HZlRReEZwa2ZXMlRwem52eEJ4QnV4NDhWSFd6ODJIQQ?oc=5,2022-04-10,"NNPP posters flood Ibadan metropolis, as Olopoeyan set to unveil new party structure tribuneonlineng.com",0
Eid-ul-fitr: Tinubu’s bags of rice flood Nasarawa - Daily Trust,https://news.google.com/rss/articles/CBMie0FVX3lxTE5KMU5qYnVUVWU2X3RCR1RpZGNYRFRSa3dnaVBuaVg4c3ZsS3lMYWZFOGdiUkd2bElhV3ZZQmxReTlmN1dOc3U5QkxYTXBkQWZkeGFpT1RzQmIwTDVXU3lRWWt6cU1mNUJ1dDhYVjVrRWxzc2hlWW5MaGp2SQ?oc=5,2022-04-30,Eid-ul-fitr: Tinubu’s bags of rice flood Nasarawa Daily Trust,0
REPORT: Climate Change Has Displaced 21million People Every Year Since 2008 - FIJ NG,https://news.google.com/rss/articles/CBMinwFBVV95cUxOYjFEWnppTENPdTR4cDdXb1NKbFBhbzBMVGd1U0RNdE5MX2JwMWZiNS1MQ2lYU3VaZmhhQ0xjZWMteElKZEQ3YUVMUVpLQUZaSE5PUWl1Q0Y0S2xQUjRsQWhRSFJsemt1cnJZR3E5Zk5zXzhrVlNvbkF1bEZ5TWRPaElsWUVjOFlnS3dHTFdzWUdPa2lWbEtHQkRMTVJFbFk?oc=5,2022-04-30,REPORT: Climate Change Has Displaced 21million People Every Year Since 2008 FIJ NG,0
"Flooding: Residents of Abeokuta, Sagamu, Ifo, Ijebu-Ode, others put on red alert - Daily Post Nigeria",https://news.google.com/rss/articles/CBMirAFBVV95cUxOX0gzV1ZQUXREbTk2YkgyeWRxWWdhYmdEeGx3ZzBnb2JFRC1RR3lmdTdtWTRwZEpBM3dOUkZxc3dSakxqaGNsS2NyblF1alZmRnkzNUppLVBsdmVBX2gtSmxaTTRUemFlcXIxY3E0VFlnMkpuckpvN1UwMVB6aG9Xdk9rdmVkN0RwaHNnUTVJT2JpdUlJMWxld0N4aEItbk53Ui1FQm1fR0FoOWs3?oc=5,2022-04-20,"Flooding: Residents of Abeokuta, Sagamu, Ifo, Ijebu-Ode, others put on red alert Daily Post Nigeria",0
Arkland Properties in ambitious push to build 20% of Eko Atlantic City - Business News Nigeria,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNZGJiZDFxVXBQUUduYXpscnJ2MlRYcEpqUmdOSXpDbzNad1d2X3hOeXFHbERTYi1DUDdEc1FWWlphQ1ZVSG1uRURGdXVPMk1McGJ6bG1VY3liVkRsQU1iTldtaEw0Z2hXQ3hNOS1CVGxZcll6aV9RZTlqMm1iWlVCNDZRRWRwd2JVODRzdEVlNWFseHR4TlZiMnJFZGduZUtlRlVDMjhncnRWUQ?oc=5,2022-04-29,Arkland Properties in ambitious push to build 20% of Eko Atlantic City Business News Nigeria,0
To make National Theatre project more satisfactory - The Guardian Nigeria News,https://news.google.com/rss/articles/CBMihgFBVV95cUxPTnZGNlc2d3VMM3B2YjR4NG5VWnAtUVV1NG5xdnc5VzJ3ZmQ1TG5BeGkyWllYaTFOMjNQMGMxdVFaQ2VoVm5SZGw1X00yREd4Y0NLUncwWW0wc1hjRWhpSUVYS2hMcTBvMnBzbndiZ0dCbXdxUUlWQWxRV3podG9fanBfVWRrQQ?oc=5,2022-04-18,To make National Theatre project more satisfactory The Guardian Nigeria News,0
"Chukwueze’s Goal Lifts Villarreal, Sends Bayern Munich Out of Champions League - thebossnewspapers.com",https://news.google.com/rss/articles/CBMitAFBVV95cUxOTEZyS2tydjZBc1gxUXp3RWlfNGoxZWtvWXJwcmRWVkJpQm92SjRNMml0UHVjV1VXTHRfbjZPU2dENGZyX0R1QjV4N3hyYXMyR3o1dklnVk5aTTBYVG1nQ0E5bXVrUmdqaWZLakZKQ0lETGhXc0cwRXJsY2xHOXVYY1cxakh4LTNLMXRVMXluODVpaGlnc0VLZkJieGtTWEhXVS1JOXZfNHZsY2prR1dHckRDdXc?oc=5,2022-04-12,"Chukwueze’s Goal Lifts Villarreal, Sends Bayern Munich Out of Champions League thebossnewspapers.com",0
